id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.province,children_count.district,children_count.village,zip_codes,geo.lat,geo.lon
LP-06,2,ເມືອງ,District,ມ. ປາກແຊງ,Pak Xeng,pak-xeng-lp-06,LP-06,,LP,ແຂວງຫລວງພະບາງ,Luang Prabang,,,146,,20.108,102.685
LP-07,2,ເມືອງ,District,ມ. ປາກອູ,Park Ou,park-ou-lp-07,LP-07,,LP,ແຂວງຫລວງພະບາງ,Luang Prabang,,,101,,20.143,102.32
LP-08,2,ເມືອງ,District,ມ. ໂພນທອງ,Phonthong,phonthong-lp-08,LP-08,,LP,ແຂວງຫລວງພະບາງ,Luang Prabang,,,0,,20.915,103.126
LP-09,2,ເມືອງ,District,ມ. ໂພນໄຊ,Phonxay,phonxay-lp-09,LP-09,,LP,ແຂວງຫລວງພະບາງ,Luang Prabang,,,172,,19.834,102.787
LP-10,2,ເມືອງ,District,ມ. ວຽງຄຳ,Viengkham,viengkham-lp-10,LP-10,,LP,ແຂວງຫລວງພະບາງ,Luang Prabang,,,148,,20.347,103.07
LP-11,2,ເມືອງ,District,ມ. ຊຽງເງີນ,Xieng Ngeun,xieng-ngeun-lp-11,LP-11,,LP,ແຂວງຫລວງພະບາງ,Luang Prabang,,,165,,19.643,102.356
OU,1,ແຂວງ,Province,ແຂວງອຸດົມໄຊ,Oudomxay,oudomxay-ou,OU,,,,,,7,889,,20.485,101.65
OU-01,2,ເມືອງ,District,ມ. ແບງ,Beng,beng-ou-01,OU-01,,OU,ແຂວງອຸດົມໄຊ,Oudomxay,,,114,,20.339,101.752
OU-02,2,ເມືອງ,District,ມ. ຮຸນ,Hoon,hoon-ou-02,OU-02,,OU,ແຂວງອຸດົມໄຊ,Oudomxay,,,144,,20.062,101.419
OU-03,2,ເມືອງ,District,ມ. ຫຼາ,La,la-ou-03,OU-03,,OU,ແຂວງອຸດົມໄຊ,Oudomxay,,,102,,20.931,102.094
OU-04,2,ເມືອງ,District,ມ. ນາໝໍ້,Namor,namor-ou-04,OU-04,,OU,ແຂວງອຸດົມໄຊ,Oudomxay,,,120,,20.939,101.708
OU-05,2,ເມືອງ,District,ມ. ງາ,Nga,nga-ou-05,OU-05,,OU,ແຂວງອຸດົມໄຊ,Oudomxay,,,132,,20.106,101.853
OU-06,2,ເມືອງ,District,ມ. ປາກແບງ,Pakbeng,pakbeng-ou-06,OU-06,,OU,ແຂວງອຸດົມໄຊ,Oudomxay,,,108,,19.906,101.13
OU-07,2,ເມືອງ,District,ມ. ໄຊ,Xay,xay-ou-07,OU-07,,OU,ແຂວງອຸດົມໄຊ,Oudomxay,,,169,,20.678,101.969
PH,1,ແຂວງ,Province,ແຂວງຜົ້ງສາລີ,Phongsaly,phongsaly-ph,PH,,,,,,7,794,,21.754,102.373
PH-01,2,ເມືອງ,District,ມ. ບຸນເໜືອ,Boon Neua,boon-neua-ph-01,PH-01,,PH,ແຂວງຜົ້ງສາລີ,Phongsaly,,,60,,21.657,101.793
PH-02,2,ເມືອງ,District,ມ. ບຸນໃຕ້,Boontay,boontay-ph-02,PH-02,,PH,ແຂວງຜົ້ງສາລີ,Phongsaly,,,85,,21.376,101.907
PH-03,2,ເມືອງ,District,ມ. ຂວາ,Khua,khua-ph-03,PH-03,,PH,ແຂວງຜົ້ງສາລີ,Phongsaly,,,178,,21.048,102.473
PH-04,2,ເມືອງ,District,ມ. ໃໝ່,May,may-ph-04,PH-04,,PH,ແຂວງຜົ້ງສາລີ,Phongsaly,,,149,,21.48,102.865
PH-05,2,ເມືອງ,District,ມ. ຍອດອູ,Nhot Ou,nhot-ou-ph-05,PH-05,,PH,ແຂວງຜົ້ງສາລີ,Phongsaly,,,122,,22.235,101.816
PH-06,2,ເມືອງ,District,ມ. ຜົ້ງສາລີ,Phongsaly,phongsaly-ph-06,PH-06,,PH,ແຂວງຜົ້ງສາລີ,Phongsaly,,,112,,21.866,102.201
PH-07,2,ເມືອງ,District,ມ. ສຳພັນ,Samphanh,samphanh-ph-07,PH-07,,PH,ແຂວງຜົ້ງສາລີ,Phongsaly,,,88,,21.79,102.522
SL,1,ແຂວງ,Province,ແຂວງສາລະວັນ,Salavan,salavan-sl,SL,,,,,,8,776,,15.975,106.348
SL-01,2,ເມືອງ,District,ມ. ໂຄງເຊໂດນ,Khongxedone,khongxedone-sl-01,SL-01,,SL,ແຂວງສາລະວັນ,Salavan,,,95,,15.557,105.743
SL-02,2,ເມືອງ,District,ມ. ລະຄອນເພງ,Lakhonepheng,lakhonepheng-sl-02,SL-02,,SL,ແຂວງສາລະວັນ,Salavan,,,73,,15.853,105.622
SL-03,2,ເມືອງ,District,ມ. ເລົ່າງາມ,Lao Ngarm,lao-ngarm-sl-03,SL-03,,SL,ແຂວງສາລະວັນ,Salavan,,,111,,15.496,106.182
SL-04,2,ເມືອງ,District,ມ. ສະໝ້ວຍ,Samuoi,samuoi-sl-04,SL-04,,SL,ແຂວງສາລະວັນ,Salavan,,,80,,16.395,106.894
SL-05,2,ເມືອງ,District,ມ. ສາລະວັນ,Saravane,saravane-sl-05,SL-05,,SL,ແຂວງສາລະວັນ,Salavan,,,154,,15.621,106.381
SL-06,2,ເມືອງ,District,ມ. ຕະໂອ່ຍ,Ta Oi,ta-oi-sl-06,SL-06,,SL,ແຂວງສາລະວັນ,Salavan,,,137,,16.149,106.796
SL-07,2,ເມືອງ,District,ມ. ຕຸ້ມລານ,Toomlarn,toomlarn-sl-07,SL-07,,SL,ແຂວງສາລະວັນ,Salavan,,,69,,16.047,106.21
SL-08,2,ເມືອງ,District,ມ. ວາປີ,Vapy,vapy-sl-08,SL-08,,SL,ແຂວງສາລະວັນ,Salavan,,,57,,15.773,105.952
SV,1,ແຂວງ,Province,ແຂວງສະຫວັນນະເຂດ,Savannakhet,savannakhet-sv,SV,,,,,,16,1634,,16.575,105.84
SV-01,2,ເມືອງ,District,ມ. ອາດສະພັງທອງ,Atsaphangthong,atsaphangthong-sv-01,SV-01,,SV,ແຂວງສະຫວັນນະເຂດ,Savannakhet,,,47,,16.729,105.275
SV-02,2,ເມືອງ,District,ມ. ອາດສະພອນ,Atsaphone,atsaphone-sv-02,SV-02,,SV,ແຂວງສະຫວັນນະເຂດ,Savannakhet,,,100,,17.037,105.412
SV-03,2,ເມືອງ,District,ມ. ຈຳພອນ,Champhone,champhone-sv-03,SV-03,,SV,ແຂວງສະຫວັນນະເຂດ,Savannakhet,,,146,,16.471,105.234
SV-04,2,ເມືອງ,District,ມ. ໄກສອນພົມວິຫານ,Kaysone Phomvihane,kaysone-phomvihane-sv-04,SV-04,,SV,ແຂວງສະຫວັນນະເຂດ,Savannakhet,,,62,,16.609,104.87
SV-05,2,ເມືອງ,District,ມ. ໜອງ,Nong,nong-sv-05,SV-05,,SV,ແຂວງສະຫວັນນະເຂດ,Savannakhet,,,125,,16.35,106.609
SV-06,2,ເມືອງ,District,ມ. ໝອງບົກ,Nongbok,nongbok-sv-06,SV-06,,SV,ແຂວງສະຫວັນນະເຂດ,Savannakhet,,,66,,17.029,104.827
SV-07,2,ເມືອງ,District,ມ. ອຸທຸມພອນ,Outhoomphone,outhoomphone-sv-07,SV-07,,SV,ແຂວງສະຫວັນນະເຂດ,Savannakhet,,,85,,16.758,105.056
SV-08,2,ເມືອງ,District,ມ. ພະລານໄຊ,Phalanxay,phalanxay-sv-08,SV-08,,SV,ແຂວງສະຫວັນນະເຂດ,Savannakhet,,,61,,16.713,105.619
SV-09,2,ເມືອງ,District,ມ. ພິນ,Phine,phine-sv-09,SV-09,,SV,ແຂວງສະຫວັນນະເຂດ,Savannakhet,,,136,,16.354,105.988
SV-10,2,ເມືອງ,District,ມ. ເຊໂປນ,Sepone,sepone-sv-10,SV-10,,SV,ແຂວງສະຫວັນນະເຂດ,Savannakhet,,,258,,16.83,106.495
SV-11,2,ເມືອງ,District,ມ. ສອງຄອນ,Songkhone,songkhone-sv-11,SV-11,,SV,ແຂວງສະຫວັນນະເຂດ,Savannakhet,,,121,,16.142,105.362
SV-12,2,ເມືອງ,District,ມ. ທາພັງທອງ,Thapangthong,thapangthong-sv-12,SV-12,,SV,ແຂວງສະຫວັນນະເຂດ,Savannakhet,,,81,,16.02,105.786
SV-13,2,ເມືອງ,District,ມ. ວິລະບູລີ,Vilabuly,vilabuly-sv-13,SV-13,,SV,ແຂວງສະຫວັນນະເຂດ,Savannakhet,,,128,,16.992,105.936
SV-14,2,ເມືອງ,District,ມ. ໄຊບູລີ,Xaybuly,xaybuly-sv-14,SV-14,,SV,ແຂວງສະຫວັນນະເຂດ,Savannakhet,,,72,,17.016,104.961
SV-15,2,ເມືອງ,District,ມ. ໄຊພູທອງ,Xayphoothong,xayphoothong-sv-15,SV-15,,SV,ແຂວງສະຫວັນນະເຂດ,Savannakhet,,,55,,16.333,105.02
SV-16,2,ເມືອງ,District,ມ. ຊົນບູລີ,Xonbuly,xonbuly-sv-16,SV-16,,SV,ແຂວງສະຫວັນນະເຂດ,Savannakhet,,,91,,16.326,105.481
VI,1,ແຂວງ,Province,ແຂວງວຽງຈັນ,Vientiane Province,vientiane-province-vi,VI,,,,,,11,597,,18.532,102.107
VI-01,2,ເມືອງ,District,ມ. ເຟືອງ,Feuang,feuang-vi-01,VI-01,,VI,ແຂວງວຽງຈັນ,Vientiane Province,,,46,,18.589,102.059
VI-02,2,ເມືອງ,District,ມ. ຫີນເຫີບ,Hinherb,hinherb-vi-02,VI-02,,VI,ແຂວງວຽງຈັນ,Vientiane Province,,,52,,18.61,102.194
VI-03,2,ເມືອງ,District,ມ. ກາສີ,Kasy,kasy-vi-03,VI-03,,VI,ແຂວງວຽງຈັນ,Vientiane Province,,,83,,19.113,102.146
VI-04,2,ເມືອງ,District,ມ. ແກ້ວອຸດົມ,Keo Oudom,keo-oudom-vi-04,VI-04,,VI,ແຂວງວຽງຈັນ,Vientiane Province,,,44,,18.599,102.503
VI-05,2,ເມືອງ,District,ມ. ແມດ,Mad,mad-vi-05,VI-05,,VI,ແຂວງວຽງຈັນ,Vientiane Province,,,55,,18.698,101.829
VI-06,2,ເມືອງ,District,ມ. ໜື່ນ,Meun,meun-vi-06,VI-06,,VI,ແຂວງວຽງຈັນ,Vientiane Province,,,9,,18.276,101.935
VI-07,2,ເມືອງ,District,ມ. ໂພນໂຮງ,Phonhong,phonhong-vi-07,VI-07,,VI,ແຂວງວຽງຈັນ,Vientiane Province,,,100,,18.42,102.429
VI-08,2,ເມືອງ,District,ມ. ທຸລະຄົມ,Thoulakhom,thoulakhom-vi-08,VI-08,,VI,ແຂວງວຽງຈັນ,Vientiane Province,,,65,,18.293,102.616
VI-09,2,ເມືອງ,District,ມ. ວັງວຽງ,Vangvieng,vangvieng-vi-09,VI-09,,VI,ແຂວງວຽງຈັນ,Vientiane Province,,,99,,18.949,102.424
VI-10,2,ເມືອງ,District,ມ. ວຽງຄຳ,Viengkham,viengkham-vi-10,VI-10,,VI,ແຂວງວຽງຈັນ,Vientiane Province,,,0,,18.371,102.518
VI-11,2,ເມືອງ,District,ມ. ຊະນະຄາມ,Xanakharm,xanakharm-vi-11,VI-11,,VI,ແຂວງວຽງຈັນ,Vientiane Province,,,44,,18.059,101.544
VT,1,ແຂວງ,Province,ນະຄອນຫຼວງວຽງຈັນ,Vientiane Capital,vientiane-capital-vt,VT,,,,,,9,334,,18.178,102.539
VT-01,2,ເມືອງ,District,ມ. ຈັນທະບູລີ,Chanthabuly,chanthabuly-vt-01,VT-01,,VT,ນະຄອນຫຼວງວຽງຈັນ,Vientiane Capital,,,12,,17.994,102.605
VT-02,2,ເມືອງ,District,ມ. ຫາດຊາຍຟອງ,Hadxaifong,hadxaifong-vt-02,VT-02,,VT,ນະຄອນຫຼວງວຽງຈັນ,Vientiane Capital,,,46,,17.978,102.809
VT-03,2,ເມືອງ,District,ມ. ປາກງື່ມ,Mayparkngum,mayparkngum-vt-03,VT-03,,VT,ນະຄອນຫຼວງວຽງຈັນ,Vientiane Capital,,,55,,18.136,102.92
VT-04,2,ເມືອງ,District,ມ. ນາຊາຍທອງ,Naxaithong,naxaithong-vt-04,VT-04,,VT,ນະຄອນຫຼວງວຽງຈັນ,Vientiane Capital,,,64,,18.23,102.482
VT-05,2,ເມືອງ,District,ມ. ສັງທອງ,Sangthong,sangthong-vt-05,VT-05,,VT,ນະຄອນຫຼວງວຽງຈັນ,Vientiane Capital,,,27,,18.334,102.117
VT-06,2,ເມືອງ,District,ມ. ສີໂຄດຕະບອງ,Sikhottabong,sikhottabong-vt-06,VT-06,,VT,ນະຄອນຫຼວງວຽງຈັນ,Vientiane Capital,,,31,,17.997,102.525
VT-07,2,ເມືອງ,District,ມ. ສີສັດຕະນາກ,Sisattanak,sisattanak-vt-07,VT-07,,VT,ນະຄອນຫຼວງວຽງຈັນ,Vientiane Capital,,,8,,17.935,102.629
VT-08,2,ເມືອງ,District,ມ. ໄຊເສດຖາ,Xaysetha,xaysetha-vt-08,VT-08,,VT,ນະຄອນຫຼວງວຽງຈັນ,Vientiane Capital,,,0,,17.978,102.674
VT-09,2,ເມືອງ,District,ມ. ໄຊທະນີ,Xaythany,xaythany-vt-09,VT-09,,VT,ນະຄອນຫຼວງວຽງຈັນ,Vientiane Capital,,,91,,18.149,102.749
XA,1,ແຂວງ,Province,ແຂວງໄຊຍະບູລີ,Xaignabouli,xaignabouli-xa,XA,,,,,,11,610,,18.794,101.181
XA-01,2,ເມືອງ,District,ມ. ບໍ່ແຕນ,Botene,botene-xa-01,XA-01,,XA,ແຂວງໄຊຍະບູລີ,Xaignabouli,,,37,,17.619,101.063
XA-02,2,ເມືອງ,District,ມ. ຫົງສາ,Hongsa,hongsa-xa-02,XA-02,,XA,ແຂວງໄຊຍະບູລີ,Xaignabouli,,,61,,19.724,101.47
XA-03,2,ເມືອງ,District,ມ. ແກ່ນທ້າວ,Kenethao,kenethao-xa-03,XA-03,,XA,ແຂວງໄຊຍະບູລີ,Xaignabouli,,,44,,17.808,101.393
XA-04,2,ເມືອງ,District,ມ. ຄອບ,Khop,khop-xa-04,XA-04,,XA,ແຂວງໄຊຍະບູລີ,Xaignabouli,,,43,,19.693,100.561
XA-05,2,ເມືອງ,District,ມ. ເງີນ,Ngeun,ngeun-xa-05,XA-05,,XA,ແຂວງໄຊຍະບູລີ,Xaignabouli,,,38,,19.776,101.129
XA-06,2,ເມືອງ,District,ມ. ປາກລາຍ,Parklai,parklai-xa-06,XA-06,,XA,ແຂວງໄຊຍະບູລີ,Xaignabouli,,,104,,18.473,101.569
XA-07,2,ເມືອງ,District,ມ. ພຽງ,Phiang,phiang-xa-07,XA-07,,XA,ແຂວງໄຊຍະບູລີ,Xaignabouli,,,57,,18.929,101.454
XA-08,2,ເມືອງ,District,ມ. ທົ່ງມີໄຊ,Thongmyxay,thongmyxay-xa-08,XA-08,,XA,ແຂວງໄຊຍະບູລີ,Xaignabouli,,,17,,18.423,101.179
XA-09,2,ເມືອງ,District,ມ. ໄຊຍະບູລີ,Xayabury,xayabury-xa-09,XA-09,,XA,ແຂວງໄຊຍະບູລີ,Xaignabouli,,,97,,19.223,101.662
XA-10,2,ເມືອງ,District,ມ. ໄຊສະຖານ,Xaysathan,xaysathan-xa-10,XA-10,,XA,ແຂວງໄຊຍະບູລີ,Xaignabouli,,,15,,19.444,101.39
XA-11,2,ເມືອງ,District,ມ. ຊຽງຮ່ອນ,Xienghone,xienghone-xa-11,XA-11,,XA,ແຂວງໄຊຍະບູລີ,Xaignabouli,,,97,,19.73,100.862
XE,1,ແຂວງ,Province,ແຂວງເຊກອງ,Xekong,xekong-xe,XE,,,,,,4,386,,15.541,107.321
XE-01,2,ເມືອງ,District,ມ. ດັກຈຶງ,Dakcheung,dakcheung-xe-01,XE-01,,XE,ແຂວງເຊກອງ,Xekong,,,132,,15.317,107.512
XE-02,2,ເມືອງ,District,ມ. ກະເລິມ,Kaleum,kaleum-xe-02,XE-02,,XE,ແຂວງເຊກອງ,Xekong,,,141,,15.93,107.195
